longitude,longtitude,city
40.77767,-73.98647,"West New York,United States,New Jersey,5106292"
25.78727201298331,-80.22098057370815,"Miami,United States,Florida,4164138"
33.51685256922872,-86.81075983787737,"Birmingham,United States,Alabama,4049979"
36.014913657688,-93.86818459601676,"Fayetteville,United States,Arkansas,4110486"
33.44367036888629,-112.16668059492662,"Avondale,United States,Arizona,5552301"
37.58913939369967,-120.99389449636563,"Modesto,United States,California,5373900"
39.74717708598308,-104.99504350949996,"Wheat Ridge,United States,Colorado,5443948"
41.03201385505129,-73.77229922295413,"White Plains,United States,New York,5144336"
38.91262583819862,-77.03461093463319,"Columbia,United States,Tennessee,4614867"
39.66405379520142,-75.67324437523371,"Bear,United States,Delaware,4141363"
26.30749391906598,-80.12911347802883,"Deerfield Beach,United States,Florida,4153071"
25.89263672923811,-80.17184794287391,"North Miami,United States,Florida,4166232"
31.716552997202704,-83.25543770375722,"Tifton,United States,Georgia,4226552"
42.47476452676201,-91.72968144654322,"Waterloo,United States,Iowa,4880889"
37.63189829901215,-97.77955422592918,"Wichita,United States,Kansas,4281730"
42.32990431194323,-71.54457833970692,"Ashland,United States,Massachusetts,4929283"
39.32804927075692,-76.7617418119881,"Milford Mill,United States,Maryland,4362438"
39.174217612118916,-76.73494850802908,"West Elkridge,United States,Maryland,4373104"
43.65817095940958,-70.25907150165227,"South Portland,United States,Maine,4979244"
44.7559977695735,-85.6826014545592,"Lincoln Park,United States,Michigan,4999311"
38.65769590740581,-90.40671740511101,"Creve Coeur,United States,Missouri,4382837"
32.293716713479874,-90.1859364353629,"Brandon,United States,Mississippi,4419290"
35.177669798841855,-80.9342719236375,"Charlotte,United States,North Carolina,4460243"
40.71845712107127,-74.06488900780639,"Jersey City,United States,New Jersey,5099836"
36.02950225048244,-115.08927904654374,"Paradise,United States,Nevada,5509952"
40.7521089352848,-73.99341849671877,"University Place,United States,Washington,5814450"
41.10348906763425,-80.65178273380928,"Youngstown,United States,Ohio,5177568"
41.80411081017816,-71.34604516248818,"East Providence,United States,Rhode Island,5221931"
33.51472979775313,-81.95974051189607,"North Augusta,United States,South Carolina,4589368"
36.592839884775024,-82.18424600042528,"Bristol,United States,Tennessee,4608657"
44.312409221287666,-96.76705383313487,"Brookings,United States,South Dakota,5226534"
29.384030546476225,-98.40217693623065,"Deer Park,United States,Texas,4685737"
37.820426286318586,-112.43469548744292,"Cedar City,United States,Utah,5536630"
36.83209218605868,-81.52097445740344,"Oak Hill,United States,Virginia,8097131"
44.45651677239509,-73.13900723598061,"South Burlington,United States,Vermont,5241248"
46.52462256683605,-122.43894177450859,"Centralia,United States,Washington,5789683"
37.315788615022136,-81.25556499794027,"Oak Hill,United States,Virginia,8097131"
42.85083908007029,-106.3237086866723,"Casper,United States,Wyoming,5820705"
